priority_exercise_1,priority_exercise_2,priority_exercise_3,learnt
0.0,0.0,0.0,0.0
0.4000000000000001,0.2,0.4,0.0
0.4000000000000001,0.6000000000000001,0.0,0.0
0.0,0.0,0.0,0.0
0.4000000000000001,0.6000000000000001,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.2,0.6000000000000001,0.2,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.4000000000000001,0.6000000000000001,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.20000000000000007,0.4,0.2,0.2
0.6000000000000001,0.2,0.0,0.2
0.8,0.2,0.0,0.0
0.4000000000000001,0.2,0.4,0.0
0.0,0.0,0.0,0.0
0.2,0.6000000000000001,0.2,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.4000000000000001,0.4000000000000001,0.2,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.6000000000000001,0.2,0.2,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.2,0.4000000000000001,0.2,0.2
0.4000000000000001,0.20000000000000007,0.4,0.0
0.2,0.6000000000000001,0.0,0.2
0.2,0.6000000000000001,0.2,0.0
0.0,0.0,0.0,0.0
0.8,0.0,0.2,0.0
0.0,0.6000000000000001,0.4,0.0
0.4000000000000001,0.6000000000000001,0.0,0.0
0.4000000000000001,0.4000000000000001,0.2,0.0
0.4000000000000001,0.4000000000000001,0.2,0.0
0.4000000000000001,0.4,0.2,0.0
0.8,0.2,0.0,0.0
0.4000000000000001,0.6000000000000001,0.0,0.0
0.2,0.6000000000000001,0.2,0.0
0.0,0.0,0.0,0.0
0.6000000000000001,0.4000000000000001,0.0,0.0
0.0,0.0,0.0,0.0
0.2,0.4,0.4,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.8,0.2,0.0,0.0
0.0,0.0,0.0,0.0
0.6000000000000001,0.4,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.6000000000000001,0.4,0.0,0.0
0.0,0.0,0.0,0.0
0.20000000000000007,0.6000000000000001,0.2,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.20000000000000007,0.6000000000000001,0.2,0.0
0.0,0.0,0.0,0.0
0.20000000000000007,0.8,0.0,0.0
0.0,0.0,0.0,0.0
0.4000000000000001,0.2,0.4,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
